#,Song,Artist,Popularity,BPM,Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Camelot,ISRC
1,"Bohemian Rhapsody - Remastered 2011","Queen",9,71,"classic rock, rock, glam rock","A Night At The Opera (2011 Remaster)",1975-11-21,05:54,41,40,27,0,22,0,30,-10,C Minor,4,2018-09-30,1AhDOtG9vPSOmsWgNW0BEY,5A,GBUM71029604
2,"I Want To Break Free - Single Remix","Queen",3,109,"classic rock, rock, glam rock","The Works (Deluxe Edition 2011 Remaster)",1984-02-27,04:18,80,44,8,0,60,0,0,-9,E Major,4,2018-09-30,3Au6174rC3JSzZN5BhCl3D,12B,GBUM71029625
3,"Somebody To Love - Remastered 2011","Queen",2,111,"classic rock, rock, glam rock","A Day At The Races (2011 Remaster)",1976-12-10,04:56,46,69,17,0,35,0,10,-7,G#/A♭ Major,3,2018-09-30,3vCHmbyOgc6pgwLUWfU4pF,4B,GBUM71029613
4,"Don't Stop Me Now - Remastered 2011","Queen",85,156,"classic rock, rock, glam rock","Jazz (2011 Remaster)",1978-11-10,03:29,56,87,5,0,61,10,70,-5,F Major,4,2018-09-30,5T8EDUDqKcs6OSOwEsfqG7,7B,GBUM71029610
5,"Under Pressure - Remastered 2011","Queen,David Bowie",84,114,"classic rock, rock, glam rock, art rock","Hot Space (2011 Remaster)",1982-05-03,04:08,67,71,43,0,46,0,10,-8,D Major,4,2018-09-30,2fuCquhmrzHpu5xcA1ci9x,10B,GBUM71029622
6,"Killer Queen - Remastered 2011","Queen",1,117,"classic rock, rock, glam rock","Sheer Heart Attack (2011 Remaster)",1974-11-08,02:59,54,65,39,0,61,0,10,-6,A#/B♭ Major,4,2018-09-30,1CnN9udhDokm7lARZjMji2,6B,GBUM71029606
7,"Another One Bites The Dust - Remastered 2011","Queen",84,110,"classic rock, rock, glam rock","The Game (2011 Remaster)",1980-06-27,03:34,93,53,11,31,75,10,10,-6,F Minor,4,2018-09-30,5vdp5UmvTsnMEMESIF2Ym7,4A,GBUM71029605
8,"We Will Rock You - Remastered 2011","Queen",80,81,"classic rock, rock, glam rock","News Of The World (2011 Remaster)",1977-10-28,02:02,69,50,68,0,48,10,20,-7,D Major,4,2018-09-30,4pbJqGIASGPr0ZpGpnWkDn,10B,GBUM71029618
9,"You're My Best Friend - Remastered 2011","Queen",0,119,"classic rock, rock, glam rock","A Night At The Opera (2011 Remaster)",1975-11-21,02:50,51,76,15,1,55,0,0,-7,C Major,4,2018-09-30,5YtxOL4iUchhynLL9nEBwQ,8B,GBUM71029609
10,"Save Me - Remastered 2011","Queen",60,82,"classic rock, rock, glam rock","The Game (2011 Remaster)",1980-06-27,03:49,51,45,36,0,32,0,10,-7,G Major,3,2018-09-30,1pBFEy8cz0Fq4Pru0c4awd,9B,GBUM71029611
11,"Radio Ga Ga - Remastered 2011","Queen",77,112,"classic rock, rock, glam rock","The Works (2011 Remaster)",1984-02-27,05:48,74,50,18,0,66,0,10,-8,F Major,4,2018-09-30,1nQRg9q9uwALGzouOX5OyQ,7B,GBUM71029623
12,"It's A Hard Life - Remastered 2011","Queen",59,82,"classic rock, rock, glam rock","The Works (2011 Remaster)",1984-02-27,04:06,42,60,42,0,30,0,10,-6,D#/E♭ Major,4,2018-09-30,34MoKBRdC9JDjcL4b4X1Ic,5B,GBUM71029627
13,"Good Old-Fashioned Lover Boy - Remastered 2011","Queen",0,97,"classic rock, rock, glam rock","A Day At The Races (2011 Remaster)",1976-12-10,02:53,55,45,60,0,40,0,0,-7,D#/E♭ Major,4,2018-09-30,61lj5cHhOifNzSMXuWg54Z,5B,GBUM71029614
14,"Friends Will Be Friends - Remastered 2011","Queen",64,75,"classic rock, rock, glam rock","A Kind Of Magic (2011 Remaster)",1986-06-02,04:06,45,53,4,0,34,0,30,-8,G Major,3,2018-09-30,3EGlnkJGcwz73rT0oE0X1X,9B,GBUM71029635
15,"We Are The Champions - Remastered 2011","Queen",76,64,"classic rock, rock, glam rock","News Of The World (2011 Remaster)",1977-10-28,02:59,27,46,38,0,18,0,10,-7,A#/B♭ Major,4,2018-09-30,1lCRw5FEZ1gPDNPzy1K4zW,6B,GBUM71029619
16,"Love Of My Life - Remastered 2011","Queen",1,154,"classic rock, rock, glam rock","A Night At The Opera (2011 Remaster)",1975-11-21,03:37,33,18,93,0,26,0,10,-12,F Major,4,2018-09-30,1luVGXHe7oimtkPScdsKBe,7B,GBUM71100536
17,"Bicycle Race - Remastered 2011","Queen",62,84,"classic rock, rock, glam rock","Jazz (2011 Remaster)",1978-11-10,03:00,46,67,6,0,63,0,0,-6,D#/E♭ Major,4,2018-09-30,5CTAcf8aS0a0sIsDwQRF9C,5B,GBUM71029608
18,"Play The Game - Remastered 2011","Queen",59,157,"classic rock, rock, glam rock","The Game (2011 Remaster)",1980-06-27,03:32,24,70,34,0,27,0,10,-6,F Major,4,2018-09-30,5p6xhgQCwzX0G9PadMU9GA,7B,GBUM71029615
19,"I Want It All - Remastered 2011","Queen",2,92,"classic rock, rock, glam rock","Greatest Hits II (2011 Remaster)",1991-10-28,04:01,40,83,3,0,39,0,30,-6,B Minor,4,2018-09-30,59CsbfwLNCAUGbBQV3Tki4,10A,GBUM71029624